id,name,address_full,courseA,courseB,courseC,courseD,phone_number,url
17,용인,경기 용인시 기흥구 용구대로 2267,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100968/144344/20407.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100968/144345/20408.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100968/145316/21599.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100968/144346/20409.jpg,031-289-0100,http://dl.koroad.or.kr/PAGE_license/yonginLic/view.jsp?code=103306
18,의정부,경기 의정부시 금오로 109번길 55,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100965/139716/25951.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100965/139716/25951.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100965/139716/25950.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100965/139716/25950.jpg,031-850-8700,http://dl.koroad.or.kr/PAGE_license/uijeongbuLic/view.jsp?code=103606
19,안산,경기 안산 단원구 순환로 352,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100970/137564/20587.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100970/137564/20586.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100970/137564/20585.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100970/137564/20584.jpg,031-490-2800,http://dl.koroad.or.kr/PAGE_license/ansanLic/view.jsp?code=103106
20,강릉,강원도 강릉시 사천면 중앙서로 464,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100980/130360/19168.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100980/130360/19167.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100980/130360/25140.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100980/130360/25139.jpg,033-640-3200,http://dl.koroad.or.kr/PAGE_license/gangneungLic/view.jsp?code=102106
21,부산남부,부산광역시 남구 용호로 16,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100973/143402/19623.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100973/143403/19624.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100973/143404/19625.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100973/147223/23843.jpg,051-610-8005,http://dl.koroad.or.kr/PAGE_license/busannambuLic/view.jsp?code=102806
22,포항,경상북도 포항시 남구 냉천로 656,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100956/147635/24295.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100956/147635/24294.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100956/147635/24293.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100956/147635/24292.jpg,054-290-9300,http://dl.koroad.or.kr/PAGE_license/pohangLic/view.jsp?code=104506
23,충주,충북 충주시 대가주1길 16,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100958/141999/23362.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100958/141999/23361.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100958/142000/23364.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100958/142000/23363.jpg,043-840-4600,http://dl.koroad.or.kr/PAGE_license/chungjuLic/view.jsp?code=104306
24,예산,충남 예산군 오가면 국사봉로 500,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100969/131179/5749.JPG,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100969/131179/5748.JPG,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100969/131179/6431.JPG,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100969/131179/6430.JPG,041-330-7400,http://dl.koroad.or.kr/PAGE_license/yesanLic/view.jsp?code=103206
25,울산,울산광역시 울주군 상북면 봉화로 342,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100967/148634/28745.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100967/148634/28745.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100967/148634/28745.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100967/148634/28745.jpg,052-255-8700,http://dl.koroad.or.kr/PAGE_license/ulsanLic/view.jsp?code=103406
26,원주,강원도 원주시 호저면 사제로 596,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100966/149700/26525.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100966/149700/26525.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100966/149700/26524.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100966/149700/26524.jpg,033-737-0600,http://dl.koroad.or.kr/PAGE_license/wonjuLic/view.jsp?code=103506
27,태백,강원도 태백시 수아밭길 166,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100957/131103/18506.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100957/131103/18505.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100957/131103/18504.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/100957/131103/18503.jpg,033-550-5700,http://dl.koroad.or.kr/PAGE_license/taebaekLic/view.jsp?code=104406
28,광양,전라남도 광양시 광양읍 대학로 11,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/101314/148024/24686.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/101314/148024/24685.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/101314/148024/24684.jpg,http://dl.koroad.or.kr/koroadfiles/cmsfiles/boardAttachFile/101314/148024/24683.jpg,061-760-1600,http://dl.koroad.or.kr/PAGE_license/gwangyangLic/view.jsp?code=210888
