id,name,address_full,address_city,address_town,fee1,fee2,bus,phone_number,url
30,안양,"경기 안양시 만안구 안양로 599, (석수동, 안양자동차운전전문학원)",경기,안양시,649000,649000,http://www.aycar.co.kr/bbs/board.php?bo_table=shuttlebus&sca=1%ED%98%B8%EC%B0%A8,031-472-3003,http://www.aycar.co.kr/
31,수원현대,"경기 수원시 영통구 중부대로 452, (원천동)",경기,수원시,632500,632500,http://www.hddriving.co.kr/bbs/board.php?bo_table=a4,031-211-3431,http://www.hddriving.co.kr/
32,신삼성,경기 오산 내삼미 275-1,경기,오산시,652300,652300,http://sssdrive.kr/page/info.php#3,1644-7088,http://sssdrive.kr/
33,평택삼성,"경기 평택시 노루댕이1길 18-5, (장당동)",경기,평택시,628100,628100,http://psdrive.co.kr/company_02.html,031-665-4770,http://psdrive.co.kr/
34,용인신갈,"경기 용인시 기흥구 백남준로 28-13, (상갈동, 뉴SK운전전문학원)",경기,용인시,625900,625900,http://www.newdrive.co.kr/company_04.html,031-281-6363,http://www.newdrive.co.kr/
35,안성,경기 안성시 대덕면 안성맞춤대로 1694-12,경기,안성시,638000,638000,http://www.asdrive.co.kr/company_04.html,031-676-5757,http://www.asdrive.co.kr/
36,송탄역,"경기도 평택시 목천로 72-17, (신장동)",경기,평택시,628100,628100,http://www.drivingacademy.co.kr/company_04.html,031-655-0992,http://www.drivingacademy.co.kr/
37,이천,"경기 이천시 부발읍 황무로1605번길 109-73, (이천자동차운전전문학원)",경기,이천시,,,https://6317777.modoo.at/?link=3gws1h5d,031-631-7777,https://6317777.modoo.at/
38,서부,경기 김포 양촌 석모 892-3,경기,김포시,594000,594000,http://xn--z92bt5bg1eyxhbew0fa914y.kr/s1_2.php,031-9899-011,http://xn--z92bt5bg1eyxhbew0fa914y.kr/
39,중앙,경기 평택시 울성길 35 (신대동),경기,평택시,628100,628100,http://jadrive.co.kr/sub-1/link_url.asp?ma_url=sub_4,031-666-0007,http://jadrive.co.kr/
40,장호원,"경기 이천시 장호원읍 장여로 229-33, (장호원자동차학원)",경기,이천시,566500,566500,,1600-2956,http://jhwcar.co.kr/
41,뉴신진,"경기 여주군 여주읍 여주남로 236, (뉴신진자동차운전전문학원)",경기,여주군,638000,638000,http://www.sjdriving.kr/skin/page/intro03.html,1566-3823,http://www.sjdriving.kr/
42,단원,"경기 안산시 단원구 대선로 40-5, (대부북동, 안산자동차운전전문학원)",경기,안산시,606000,606000,http://danwondrive.com/company_04.html,080-333-6600,http://danwondrive.com/
43,신동아,경기 평택시 서탄면 발안로 927,경기,평택시,616000,616000,http://sdonga.com/shu/01.asp,1588-0636,http://sdonga.com/
44,동양,경기 이천시 부발읍 중부대로 1732-3,경기,이천시,627000,627000,,031-632-1223,http://www.dyangdrive.co.kr/
45,안성신진,"경기 안성시 중리길 30, (중리동, 신진자동차학원)",경기,안성시,618200,618200,http://assdrive.co.kr/company_03.html,031-674-5454,http://assdrive.co.kr/
46,수원역,"경기 수원시 권선구 평동로 110, (평동)",경기,수원시,632500,632500,http://www.driverschool.co.kr/main/sub.html?pageCode=13,031-296-9696,http://www.driverschool.co.kr/
47,신분당,"경기 용인시 처인구 모현면 오산로 13-64, (용인신분당자동차운전전문학원)",경기,용인시,572000,572000,http://www.sinbundangcar.com/company_04.html?PHPSESSID=34d2ff0f2c8a1907aa1bc2b93a85ce81,1899-0530,http://www.sinbundangcar.com/
48,한강,경기 김포시 통진읍 율마로300번길 153,경기,김포시,590700,590700,http://hangangcar.co.kr/company_04.html,1688-7877,http://hangangcar.co.kr/#
49,아시아,"경기 화성시 경기대로 979, (병점동)",경기,화성시,655600,655600,,031-239-8477,http://www.asiadrive.kr/
50,수지풍덕,"경기 용인시 수지구 수풍로37번길 56, (풍덕천동)",경기,용인시,594000,594000,http://pungdukcar.com/about/about_03.php,031-261-3333,http://pungdukcar.com/
51,모란,"경기 광주시 절골길 83, (장지동, 모란자동차운전전문학원)",경기,광주시,598400,598400,http://www.mrdrive.kr/s1_2.php,031-765-9999,http://www.mrdrive.kr/
52,용인,경기 용인시 처인구 양지면 주북로 122,경기,용인시,583000,583000,http://www.yongincar.co.kr/company_04.html,1600-5045,http://www.yongincar.co.kr/#
53,동부,경기 광주시 오포읍 포은대로 332,경기,광주시,572000,572000,http://dongbucar.com/shuttle_03.html,1577-5887,http://dongbucar.com/index.html
54,수원원천,"경기 수원시 영통구 중부대로462번길 23, (원천동, 원천자동차운전학원)",경기,수원시,632500,632500,http://www.xn--zo5b1bb54j79ltto.com/%EC%85%94%ED%8B%80%EB%B2%84%EC%8A%A4,031-217-8833,http://www.xn--zo5b1bb54j79ltto.com/
55,신현대,"경기 의왕시 경수대로 321, (오전동)",경기,의왕시,633600,633600,http://www.shinhyundai.co.kr/edu/0101.asp,031-421-5000,http://www.shinhyundai.co.kr/
56,e삼성,경기 용인 처인 남동 (e삼성자동차운전전문학원),경기,용인시,594000,594000,http://www.ssdrive.kr/s1_2.php,031-335-0900,http://www.ssdrive.kr/
57,뉴삼성,"경기 수원시 권선구 매송고색로506번길 18, (오목천동)",경기,수원시,638000,638000,http://www.newsamsung.co.kr/sub_01_02,031-296-7711,http://www.newsamsung.co.kr/
58,(주)화성본오,경기 화성시 우정읍 3.1만세로 199-17,경기,화성시,630000,630000,http://www.bonodrive.co.kr/sub/sub1-2.php,031-351-8900,http://www.bonodrive.co.kr/
59,광원,"경기 양평군 양평읍 중앙로 244-26, (광원자동차운전전문학원)",경기,양평군,627000,627000,http://www.xn--e42b76r7yao2bn15ayzc.com/bus_01.html,031-771-7100,http://www.xn--e42b76r7yao2bn15ayzc.com/
60,대동,경기 평택 팽성 송화 220,경기,평택시,,,http://www.ddrive.kr/company_05.html,031-655-5252,http://www.ddrive.kr/?PHPSESSID=199f7244e8cf4105ddc210ef7cd2be04
61,서울광명,"경기 광명시 안현로 81, (하안동, 서울광명자동차운전전문학원)",경기,광명시,689700,689700,http://www.sgcar.co.kr/company_03.html,02-894-6000,http://www.sgcar.co.kr/
62,공도삼성,경기도 안성시 공도읍 봉기길 87,경기,안성시,638000,638000,http://www.gddrive.kr/company_04.html,031-655-6525,http://www.gddrive.kr/
63,광주제일,"경기 광주시 곤지암읍 평촌길11번길 48, (광주제일자동차운전전문학원)",경기,광주시,700700,700700,http://www.jeildrive.kr/company_04.html,031-761-1400,http://www.jeildrive.kr/#
64,신진중동,"경기 부천시 원미구 평천로 651, (약대동, 신진중동자동차운전전문학원)",경기,부천시,631400,631400,http://www.sinjindrive.com/bbs/board.php?bo_table=0104,032-323-3388,http://www.sinjindrive.com/
65,국제,경기 광주시 오포읍 신현로 55-10,경기,광주시,595100,595100,http://www.01033944419.infom.kr/?c=167&idx=2,031-718-7777,http://www.01033944419.infom.kr/
66,상록수,경기 화성시 비봉면 하저자안로 207,경기,화성시,645500,645500,http://www.ssdriving.co.kr/company_04.html,1577-1667,http://www.ssdriving.co.kr/
67,유환,"경기 군포시 경수대로 453, (당정동, 유환자동차운전전문학원)",경기,군포시,623700,623700,http://www.yuhwancar.com/default/1004web/bb/b04.php,031-454-6500,http://www.yuhwancar.com/default/
68,(주)부천,"경기 부천시 오정구 성오로 157, (오정동, 부천자동차운전전문학원)",경기,부천시,633600,633600,http://bcdriver.3458.co.kr/m/system/sub5_1.html,032-679-3000,http://bcdriver.3458.co.kr/m/index.html
69,명학,"경기 안양시 만안구 덕천로48번길 71, (안양동, 명학자동차운전전문학원)",경기,안양시,649000,649000,http://www.mhdrive.com/index.php?mid=m1_3,031-468-6800,http://www.mhdrive.com/
70,e현대,"경기 시흥시 서해안로 584-1, (정왕동, e현대자동차운전전문학원)",경기,시흥시,,,http://www.shcardrive.co.kr/company_03.html,031-433-5577,http://www.shcardrive.co.kr/
71,성남,"경기 광주시 장지9길 140, (장지동, 성남자동차운전전문학원)",경기,광주시,600700,600700,http://www.sndrive.co.kr/company_04.html?PHPSESSID=c0616632896bcd02861f251b710a4aee,031-768-6811,http://www.sndrive.co.kr/
72,뉴현대,"경기 안산시 단원구 영전로 76, (대부동동, 시화자동차운전전문학)",경기,안산시,715000,715000,http://www.nhddrive.com/company_04.html,1566-9013,http://www.nhddrive.com/#
73,(주)하남21C,"경기 광주시 회안대로 982, (송정동, 하남21c자동차운전전문학원)",경기,광주시,723000,693000,https://www.hanam21c.co.kr/bbs/page.php?hid=aboutus04,031-763-2221,http://www.hanam21c.co.kr/
74,(주)안산대일,"경기 안산시 단원구 원포공원로 45, (초지동, 안산대일자동차운전전문학원)",경기,안산시,685000,685000,http://daeildrive.co.kr/,031-413-1100,http://daeildrive.co.kr/
75,이천제일,"경기 이천시 신둔면 원적로512번길 256-23, (이천제일자동차운전전문학원)",경기,이천시,739800,739800,http://jeildriving.com/company_04.html,031-638-0707,http://jeildriving.com/#
76,한빛,"경기 시흥시 봉화로 49, (정왕동, 한빛자동차운전전문학원)",경기,시흥시,610000,610000,http://xn--xx3bs6moc81du52boa.com/%EC%85%94%ED%8B%80%EB%B2%84%EC%8A%A4%EB%85%B8%EC%84%A0,031-433-5500,http://xn--xx3bs6moc81du52boa.com/
77,평택안중,경기도 평택시 안중읍 서동대로 1673-56,경기,평택시,627000,627000,http://www.ptajdrive.co.kr/company_04.html,031-682-1140,http://www.ptajdrive.co.kr/?n_media=27758&n_query=%ED%8F%89%ED%83%9D%EC%95%88%EC%A4%91%EC%9A%B4%EC%A0%84%EB%A9%B4%ED%97%88%ED%95%99%EC%9B%90&n_rank=1&n_ad_group=grp-a001-01-000000011568935&n_ad=nad-a001-01-000000066885182&n_keyword_id=nkw-a001-01-000002125846744&n_keyword=%ED%8F%89%ED%83%9D%EC%95%88%EC%A4%91%EC%9A%B4%EC%A0%84%EB%A9%B4%ED%97%88%ED%95%99%EC%9B%90&n_campaign_type=1&n_ad_group_type=1
78,동일,"경기 남양주시 경춘로 679-14, (일패동, 동일자동차학원)",경기,남양주시,,,http://www.dongil-car.co.kr/company_04.html,051-557-3636,http://www.dongil-car.co.kr/
79,신광,"경기 동두천시 벌마들로40번길 24-9, (상패동)",경기,동두천시,,,http://skdrive.co.kr/company_02.html,031-862-6433,http://skdrive.co.kr/index.html
80,양원,경기 남양주시 진접읍 경복대로샘말길 35-2,경기,남양주시,600000,600000,http://www.ywdrive.com/pc/shuttle/shuttle.html,1544-3499,http://www.ywdrive.com/pc/index.html?NaPm=ct%3Dkkq71614%7Cci%3D0uB7002Hi1Hu%2DcSeFKWW%7Ctr%3Dsa%7Chk%3D8beae5acf359a0056b12ac0467f3153ef5e6519f&OV_REFFER=https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&query=%EC%96%91%EC%9B%90+%EC%9A%B4%EC%A0%84%EB%A9%B4%ED%97%88%ED%95%99%EC%9B%90&oquery=%EC%8B%A0%EA%B4%91+%EC%9A%B4%EC%A0%84%EB%A9%B4%ED%97%88%ED%95%99%EC%9B%90&tqi=htWdkdprvxsssBjqhkdssssstMl-081094
81,한미,"경기 양주시 삼숭로129번길 11, (삼숭동)",경기,양주시,,,http://www.hanmidrive.com/ab-4417-9,1588-1268,http://www.hanmidrive.com/
82,강북삼성,경기 양주시 백석읍 꿈나무로 93,경기,양주시,,,http://www.kbdrive.co.kr/bus_01.html,1577-4877,http://www.kbdrive.co.kr/
83,우리,"경기 가평군 가평읍 태봉두밀로 34-71, (우리자동차학원)",경기,가평군,560000,560000,http://www.wooridrive.com/company_02.html,1661-0050,http://www.wooridrive.com/?n_media=27758&n_query=%EC%9A%B0%EB%A6%AC%EC%9A%B4%EC%A0%84%EB%A9%B4%ED%97%88%ED%95%99%EC%9B%90&n_rank=1&n_ad_group=grp-m001-01-000000656989956&n_ad=nad-a001-01-000000077900989&n_keyword_id=nkw-m001-01-000000674635643&n_keyword=%EC%9A%B0%EB%A6%AC%EC%9A%B4%EC%A0%84%EB%A9%B4%ED%97%88%ED%95%99%EC%9B%90&n_campaign_type=1&n_ad_group_type=1#
84,명문,"경기 고양시 일산서구 탄중로275번길 52-35, (탄현동)",경기,고양시,693000,693000,http://www.myungmuncar.co.kr/bus_01.html,031-381-5000,http://www.myungmuncar.co.kr/#
85,엘씨,"경기 파주시 문산읍 우계로457번길 21, (LC자동차운전전문학원)",경기,파주시,616000,616000,http://www.lccar.kr/shu/01.asp,031-952-6400,http://www.lccar.kr/
86,신일,"경기 고양시 일산동구 성현로268번길 93, (성석동)",경기,고양시,660000,660000,http://www.shinil-car.co.kr/company_03.html,031-977-1522,http://www.shinil-car.co.kr/
87,올리브,"경기 파주시 탄현면 장릉로 5-23, (올리브운전전문학원)",경기,파주시,693000,693000,http://www.olivedriving.co.kr/check_04.html,031-948-8600,http://www.olivedriving.co.kr/
88,뉴대성,"경기도 고양시 일산동구 장대길 160-38, (장항동)",경기,고양시,610000,610000,,0507-1346-7077,
89,뉴강남,경기도 가평군 설악면 신천중앙로28번길 3-132,경기,가평군,,,http://www.newdriver.co.kr/company_04.html,1800-3233,http://www.newdriver.co.kr/index.html
90,한수,"경기도 파주시 교하로 507, (동패동, (주)한주자동차운전전문학원)",경기,파주시,649000,649000,http://www.xn--2q1bv3l24f54ebeu1cjxa156go2xya.com/%EC%9D%BC%EC%82%B0%EB%B0%A9%ED%96%A5,031-943-0037,http://www.xn--2q1bv3l24f54ebeu1cjxa156go2xya.com/
91,신원,"경기 고양시 일산서구 덕산로 167, (가좌동)",경기,고양시,,,,031-923-0997,http://www.driveworld.co.kr/
92,하예서부,"경기 파주시 파주읍 학당말길 141, (하예서부자동차운전전문학원)",경기,파주시,616000,616000,http://www.hayedrive.com/company_02.html,1522-3208,http://www.hayedrive.com/
93,정다운파주,경기 파주시 월롱면 정문로293번길 93,경기,파주시,649000,649000,http://www.pajucar.co.kr/sub1.php?num=1_2,031-954-5858,http://www.pajucar.co.kr/
94,자유로,"경기 파주시 범벅골길 60-6, (다율동, 자유로자동차운전전문학원)",경기,파주시,649000,649000,http://www.jayuway.kr/home/homepage.php?homefile=sub_01_03.html,031-947-9944,http://www.jayuway.kr/home/index.php?n_media=27758&n_query=%EC%9E%90%EC%9C%A0%EB%A1%9C%EC%9A%B4%EC%A0%84%EB%A9%B4%ED%97%88%ED%95%99%EC%9B%90&n_rank=1&n_ad_group=grp-m001-01-000001559456389&n_ad=nad-a001-01-000000111890622&n_keyword_id=nkw-m001-01-000001559456443&n_keyword=%EC%9E%90%EC%9C%A0%EB%A1%9C%EC%9A%B4%EC%A0%84%EB%A9%B4%ED%97%88%ED%95%99%EC%9B%90&n_campaign_type=1&n_ad_group_type=1&NaPm=ct%3Dkkqcvmf4%7Cci%3D0zS00008rLHuYyC13L3Q%7Ctr%3Dsa%7Chk%3D2f1f1dab91e602eab99722ebd8bf84eaaa54fafa
95,행운,경기 포천시 신북면 중앙로 332-34,경기,포천시,,,http://www.hwolle.co.kr/ab-921,1577-1978,http://www.hwolle.co.kr/
96,신진,경기도 파주시 월롱면 정문로293번길 95,경기,파주시,649000,649000,http://1644-8677.com/1_3.php,1644-8677,http://1644-8677.com/
97,연천,경기 연천군 연천읍 통현길 100,경기,연천군,,,http://www.ycdrive.com/page/board.php?su_id=sub0401,031-834-5800,http://www.ycdrive.com/?n_media=27758&n_query=%EC%97%B0%EC%B2%9C%EC%9A%B4%EC%A0%84%EB%A9%B4%ED%97%88%ED%95%99%EC%9B%90&n_rank=1&n_ad_group=grp-a001-01-000000000970141&n_ad=nad-a001-01-000000086648818&n_keyword_id=nkw-a001-01-000000163457717&n_keyword=%EC%97%B0%EC%B2%9C%EC%9A%B4%EC%A0%84%EB%A9%B4%ED%97%88%ED%95%99%EC%9B%90&n_campaign_type=1&n_ad_group_type=1
98,북부중앙,"경기 양주시 화합로 1221, (회정동)",경기,양주시,,,,031-858-1555,https://bbdrive114.modoo.at/
99,시티,"경기 의정부시 신흥로 41, (호원동, 시티자동차운전확원)",경기,의정부시,,,http://citydrive.co.kr/new/bbs/content.php?co_id=0103,031-877-1377,http://citydrive.co.kr/new/index.php
100,대진,경기 포천시 군내면 포천로909번길 31,경기,포천시,747000,747000,http://www.djdrive.kr/company_04.html,1899-2846,http://www.djdrive.kr/
101,NEW강동,경기 남양주시 진접읍 진건오남로 1048,경기,남양주시,,,http://www.jeil82.com/bbs/content.php?co_id=page0103,1599-3399,http://www.jeil82.com/?n_media=27758&n_query=%EB%89%B4%EA%B0%95%EB%8F%99%EC%9A%B4%EC%A0%84%EB%A9%B4%ED%97%88%ED%95%99%EC%9B%90&n_rank=1&n_ad_group=grp-a001-01-000000001305006&n_ad=nad-a001-01-000000103511067&n_keyword_id=nkw-a001-01-000000231285279&n_keyword=%EB%89%B4%EA%B0%95%EB%8F%99%EC%9A%B4%EC%A0%84%EB%A9%B4%ED%97%88%ED%95%99%EC%9B%90&n_campaign_type=1&n_ad_group_type=1
102,그린,경기 포천시 소흘 223-38,경기,포천시,,,http://www.gdts.co.kr/index.php?mid=page_WAkF18,1588-2977,http://www.gdts.co.kr/
103,신제일,경기 포천시 영북면 문암길 20-1,경기,포천시,,,http://www.sinjeil87.com/bbs/content.php?co_id=bus,080-536-8787,http://www.sinjeil87.com/
104,스피드(일반),경기 양주시 청담로 42번길 63-15,경기,양주시,594000,594000,http://www.smartdriving.kr/intro_03.html,070-4576-1400,http://www.smartdriving.kr/#
